epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7911,0.89037,3.06815,1.30318,0.34356,0.54026,0.46254,0.3172,0.72759,14.4579,1.15406,0.00041387,0.00041387,0.00041387
2,63.9895,1.01904,2.67414,1.37104,0.43195,0.37083,0.20185,0.12576,0.78126,14.3371,1.17961,0.000814092,0.000814092,0.000814092
3,90.906,1.06542,2.46207,1.37541,0.39331,0.26598,0.15475,0.10116,1.0296,11.64,1.41199,0.00119781,0.00119781,0.00119781
4,117.578,1.08963,2.17358,1.38821,0.63932,0.23113,0.18538,0.10983,1.03059,10.924,1.41675,0.00117575,0.00117575,0.00117575
5,144.154,1.02119,2.05389,1.36853,0.21256,0.32985,0.22063,0.1421,0.94866,8.68462,1.29622,0.001151,0.001151,0.001151
6,170.524,1.00807,1.91272,1.33448,0.52433,0.49729,0.36727,0.26381,0.71499,12.4634,1.08537,0.00112625,0.00112625,0.00112625
7,197.303,1.02019,1.86791,1.33538,0.53653,0.39768,0.39058,0.26328,0.7606,6.74574,1.1735,0.0011015,0.0011015,0.0011015
8,223.759,0.97631,1.78041,1.3071,0.5761,0.40051,0.35484,0.2715,0.6445,9.39709,1.03029,0.00107675,0.00107675,0.00107675
9,250.176,0.96609,1.76875,1.31158,0.62077,0.42662,0.38373,0.28562,0.63103,7.84519,1.01151,0.001052,0.001052,0.001052
10,277.253,0.93134,1.65502,1.27435,0.3129,0.52517,0.39257,0.28462,0.70969,8.11812,1.08876,0.00102725,0.00102725,0.00102725
11,304.296,0.92348,1.61983,1.28876,0.55831,0.54078,0.42845,0.30777,0.69706,10.2842,1.04527,0.0010025,0.0010025,0.0010025
12,331.289,0.86163,1.55405,1.23683,0.62681,0.529,0.43185,0.32633,0.6011,10.4775,0.98416,0.00097775,0.00097775,0.00097775
13,357.612,0.89845,1.57856,1.26124,0.63489,0.51558,0.43577,0.33957,0.61395,9.09258,0.98367,0.000953,0.000953,0.000953
14,384.144,0.90849,1.56651,1.24399,0.67192,0.48827,0.47477,0.3677,0.54486,10.1394,0.94095,0.00092825,0.00092825,0.00092825
15,410.739,0.89816,1.47606,1.25998,0.65668,0.52551,0.46039,0.35761,0.57514,6.43195,0.97544,0.0009035,0.0009035,0.0009035
16,438.008,0.85346,1.45999,1.24144,0.37259,0.50147,0.41753,0.32804,0.55991,7.94326,0.957,0.00087875,0.00087875,0.00087875
17,464.9,0.82528,1.40652,1.20588,0.37189,0.60332,0.50203,0.40589,0.56529,8.67549,0.95677,0.000854,0.000854,0.000854
18,491.817,0.83365,1.39535,1.20893,0.68843,0.58819,0.50066,0.39819,0.55503,8.8958,0.9356,0.00082925,0.00082925,0.00082925
19,518.601,0.82945,1.3677,1.21723,0.42531,0.53981,0.51172,0.40355,0.53717,7.78414,0.92228,0.0008045,0.0008045,0.0008045
20,545.299,0.81698,1.36246,1.20305,0.43868,0.54903,0.48115,0.38451,0.55651,9.31469,0.93715,0.00077975,0.00077975,0.00077975
21,571.55,0.80805,1.3273,1.20449,0.42379,0.58802,0.53297,0.42538,0.51088,10.0431,0.92846,0.000755,0.000755,0.000755
22,598.052,0.81897,1.29621,1.21208,0.65475,0.51094,0.51764,0.40885,0.54519,9.74382,0.94992,0.00073025,0.00073025,0.00073025
23,624.923,0.78443,1.25667,1.17926,0.69194,0.55651,0.52002,0.41627,0.51143,6.66233,0.9142,0.0007055,0.0007055,0.0007055
24,651.389,0.73837,1.18946,1.1553,0.4847,0.55372,0.54985,0.4409,0.51425,9.91874,0.91767,0.00068075,0.00068075,0.00068075
25,678.137,0.75061,1.23938,1.16907,0.78652,0.54798,0.58515,0.47603,0.48672,8.96702,0.90605,0.000656,0.000656,0.000656
26,704.544,0.75525,1.23458,1.15942,0.43072,0.57967,0.54563,0.44621,0.49408,9.86164,0.90961,0.00063125,0.00063125,0.00063125
27,731.162,0.74456,1.19919,1.16538,0.78853,0.54471,0.57789,0.48294,0.46816,8.84979,0.88456,0.0006065,0.0006065,0.0006065
28,757.681,0.73219,1.19874,1.14781,0.72686,0.56744,0.57854,0.47281,0.50262,9.05766,0.88761,0.00058175,0.00058175,0.00058175
29,784.453,0.72831,1.14796,1.15679,0.46721,0.6258,0.64769,0.51673,0.49434,3.35472,0.90355,0.000557,0.000557,0.000557
30,810.671,0.73397,1.10351,1.14824,0.82001,0.55055,0.62434,0.52308,0.48063,6.50704,0.88069,0.00053225,0.00053225,0.00053225
31,837.049,0.72656,1.08908,1.13228,0.80758,0.59715,0.60858,0.49791,0.48542,8.5299,0.88276,0.0005075,0.0005075,0.0005075
32,863.695,0.70909,1.0623,1.13707,0.54495,0.58436,0.61762,0.51372,0.48818,4.56138,0.89672,0.00048275,0.00048275,0.00048275
33,890.206,0.70765,1.06683,1.14068,0.53769,0.55441,0.59915,0.50115,0.46929,9.55322,0.87362,0.000458,0.000458,0.000458
